waypoint1	waypoint2	co2_gEC	duration_s
15014	16015	12209.87636	29436.0
24322	16015	3873.57566	8742.0
16015	38185	6554.39241	28482.0
16015	26362	6201.92331	28110.0
16015	37261	1626.1947199999997	7722.0
16015	32013	5448.260877777778	23986.666666666668
12202	16015	7919.57172	28158.0
16015	22278	3289.069872727273	20492.727272727272
40192	16015	5587.61499	12450.0
16015	53130	3071.8992	18610.909090909092
16015	72181	2361.243054545455	14438.181818181818
19272	16015	7451.2313	20842.5
82121	16015	2708.203933333333	11666.666666666666
16015	28085	4030.6559545454543	15430.90909090909
60057	16015	5466.3398875	29955.0
15014	24322	5334.70118	16218.0
15014	38185	18133.663475	30547.5
15014	26362	15026.230860000001	29460.0
15014	37261	14829.961059999998	27510.0
15014	32013	11698.269075	25020.0
15014	12202	7452.1637909090905	14950.90909090909
15014	22278	16288.87771111111	46100.0
15014	40192	14849.391940000001	33726.0
15014	53130	16679.07267	41298.0
15014	72181	17085.469409999998	37812.0
15014	19272	4504.14109	11430.0
82121	15014	7877.197072727271	17350.909090909092
15014	28085	20284.197063636362	41498.181818181816
24322	38185	12563.46753	36714.0
24322	26362	14515.86467	35352.0
24322	37261	7241.604270000001	17826.0
24322	32013	8728.5587	24054.0
24322	12202	7083.5194	19872.0
24322	22278	7097.91106	26796.0
24322	40192	7923.46124	13002.0
24322	53130	6198.56338888889	24166.666666666668
24322	72181	6372.713827272728	21627.272727272728
24322	19272	3512.9159200000004	8784.0
82121	24322	5121.756069999999	13260.0
24322	28085	7654.84794	21252.0
60057	24322	8804.8359	37880.0
26362	38185	3711.39292	4728.0
37261	38185	11407.23175	26250.0
32013	38185	9251.72048181818	29820.0
12202	38185	10301.414075	37020.0
22278	38185	7209.669442857142	25491.428571428572
40192	38185	11651.575975	38190.0
53130	38185	8643.640214285715	26991.428571428572
72181	38185	7336.548155555555	22053.333333333332
19272	38185	14127.380985714288	35742.857142857145
82121	38185	10128.26274	28182.0
28085	38185	19175.268411111112	37273.333333333336
60057	38185	8426.791749999999	33080.0
37261	26362	11327.779480000001	28308.0
32013	26362	8436.061979999999	32070.0
12202	26362	8844.235649999999	33906.0
22278	26362	12761.31695	35077.5
40192	26362	12754.993566666668	43226.666666666664
53130	26362	7579.139057142857	26194.285714285714
72181	26362	9250.112509090908	27725.454545454544
19272	26362	14216.349830000001	39714.0
82121	26362	7800.84069	25578.0
28085	26362	19147.498066666667	37140.0
60057	26362	9096.4824	35450.0
37261	32013	8988.251780000002	33456.0
12202	37261	10426.558527272726	33938.181818181816
37261	22278	4530.201419999999	15144.0
40192	37261	5601.335972727273	18043.636363636364
37261	53130	3696.4677272727276	9185.454545454546
37261	72181	2765.3919181818183	7472.727272727273
19272	37261	10505.484919999999	23766.0
82121	37261	6040.84338	23538.0
28085	37261	8947.851654545457	10914.545454545454
60057	37261	4950.925625000001	26985.0
12202	32013	6455.359171428571	17511.428571428572
22278	32013	6743.423599999999	36580.0
40192	32013	8389.33972	25980.0
53130	32013	7786.93442	39294.0
72181	32013	7085.959472727272	36829.09090909091
19272	32013	6905.1231	22702.5
82121	32013	3532.0408300000004	8676.0
28085	32013	9481.8117	35274.0
60057	32013	19617.817649999997	76260.0
12202	22278	8876.6016	38940.0
12202	40192	10716.928100000001	32288.571428571428
12202	53130	11063.968325	38085.0
12202	72181	9901.65323	38856.0
19272	12202	4681.24959	13146.0
82121	12202	5972.48	12540.0
12202	28085	11380.749789999998	37992.0
60057	12202	21471.790650000003	81360.0
40192	22278	7603.4362	28293.333333333332
53130	22278	2151.61172	6996.0
72181	22278	2363.7827500000003	9108.0
19272	22278	10288.144266666664	38340.0
82121	22278	4672.185914285714	27608.571428571428
28085	22278	4818.54645	16692.0
60057	22278	6257.018	34710.0
40192	53130	7041.916845454544	26618.18181818182
40192	72181	6681.88783	22800.0
19272	40192	10890.475177777776	29720.0
82121	40192	6940.330349999999	15336.0
40192	28085	8488.48714	22122.0
60057	40192	9631.511775	42150.0
72181	53130	1145.90159	2448.0
19272	53130	10458.31072	36348.0
82121	53130	4762.14011	27960.0
28085	53130	3892.83169	10872.0
60057	53130	4692.762327272727	29372.727272727272
19272	72181	12003.4841	32566.666666666668
82121	72181	5419.9571000000005	25630.909090909092
28085	72181	3511.0814299999993	5946.0
60057	72181	4122.63263	25062.0
82121	19272	3550.81356	11760.0
19272	28085	10429.66062	33528.0
82121	28085	6857.438410000001	24264.0
82121	60057	11402.1268	51804.0
60057	28085	6782.811563636365	32100.0
